idProducto,nombre,categoria,cantidad,total_ARS,creacion,actualizacion,activo
DUL001,Medialuna,Dulces,2487,3091300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF001,Latte,Cafés,1412,5261410,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL001,Chipá,Salados,1382,3498725,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF002,Flat White,Cafés,933,3539800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO001,Onda Medialunas,Promos,721,4103500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL002,Cookie Red Velvet,Dulces,643,2416600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL003,Cookie Clásica,Dulces,582,1964100,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL004,Pan de Chocolate,Dulces,499,2179400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF003,Magic,Cafés,464,1463400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL005,Croissant,Dulces,464,1342600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL006,Cookie Triple Chocolate,Dulces,462,1743000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
ADI001,Vaso 12oz,Adicionales,434,651000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF004,Capuccino,Cafés,416,1572500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL007,Alfajor Patagónico,Dulces,303,1287401,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL008,Roll de Canela,Dulces,292,1249900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL002,Tostado Árabe,Salados,288,1617600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL003,Chipá Relleno,Salados,262,1604900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF005,Piccolo,Cafés,260,839400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL009,Alfacookie,Dulces,252,1064801,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF006,Americano Doble,Cafés,241,697200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL004,Medialuna Rellena,Salados,228,643800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL010,Cookie Caramel,Dulces,221,859900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL005,Croissant Relleno,Salados,202,980900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF007,Mocaccino,Cafés,192,837400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF008,Latte Macchiato,Cafés,180,674900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF009,Caramel Latte,Cafés,175,759500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
ADI002,Leche de Almendras,Adicionales,164,176300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL011,Alfajor Negro Marplatense,Dulces,156,600900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
ADI003,Leche Deslactosada,Adicionales,136,124100,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF010,Magic (Cortado),Cafés,128,428200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF011,Lungo,Cafés,123,346600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF012,Doppio,Cafés,115,301514,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL012,Alfajor Bonobon,Dulces,113,510300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF013,Americano Simple,Cafés,103,278100,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF014,Vainilla Latte,Cafés,94,393500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF015,Avellana Latte,Cafés,82,356000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED001,Queso,Pedidos Ya,70,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED002,Jamón,Pedidos Ya,67,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL013,Alfajor Blanco Glass,Dulces,67,234000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB001,Jugo de Naranja (Citric),Bebidas,62,249980,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB002,Submarino,Bebidas,57,237300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO002,Onda Tostadas Integrales,Promos,56,410300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN001,Alfajor de Maní,Sin Tacc,50,187600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN002,Cuadrado de Coco y Dulce de Leche,Sin Tacc,49,202200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB003,Licuado de Frutos del Bosque,Bebidas,40,187400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB004,Licuado de Banana,Bebidas,33,144000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL014,Cookie Rocklet,Dulces,33,108600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF016,Espresso,Cafés,32,82910,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN003,Brownie con nuez,Sin Tacc,32,139400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB005,Té en Hebras,Bebidas,32,112000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF017,Iced Latte,Cafés,31,130600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF018,Iced Caramel Latte,Cafés,30,138900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED003,Medialunas,Pedidos Ya,28,34900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL015,Alfajor Marplatense,Dulces,25,97500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF019,Pistacho Latte,Cafés,25,113000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL016,Cookie Maní,Dulces,24,44700,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB006,Agua Sin Gas,Bebidas,23,49200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED004,Opcional Genérico,Pedidos Ya,22,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO003,Onda Tostadas,Promos,22,147400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB007,Agua Con Gas,Bebidas,22,49600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL017,Alfajor Bon o bon,Dulces,22,88500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO004,Onda Tostadas Comunes,Promos,22,165500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN004,Pastafrola,Sin Tacc,21,92500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN005,Pepas de Membrillo,Sin Tacc,19,61250,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF020,Iced Mocaccino,Cafés,19,88900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL006,Tostadas,Salados,18,76800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF021,Iced Vainilla Latte,Cafés,18,82900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRE001,Yogurt con Granola,Preparados,16,104000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF022,Iced Flat White,Cafés,16,67300,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF023,Cafe en grano,Cafés,15,345000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB008,Cocacola,Bebidas,14,36020,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB009,Vaso de Limonada (Citric),Bebidas,13,52600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB010,Té Verde,Bebidas,13,45500,2025-09-19 10:00:02,2025-09-19 10:00:02,True
ADI004,Calentar Agua,Adicionales,11,9700,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB011,Jugo Citric 1L,Bebidas,10,30000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB012,Agua Saborizada,Bebidas,9,27000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB013,Sprite,Bebidas,9,18030,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB014,Cocacola Zero,Bebidas,9,27000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO005,Promo Bonobon,Promos,8,60000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SAL007,Tostadas Integrales,Salados,8,31200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB015,Sprite Light,Bebidas,8,24000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED005,Sin Edulcorante,Pedidos Ya,8,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
DUL018,Budín de Banana,Dulces,7,20000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF024,Iced Pistacho Latte,Cafés,6,28900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF025,Iced Americano,Cafés,5,20200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF026,Iced Avellana Latte,Cafés,5,22900,2025-09-19 10:00:02,2025-09-19 10:00:02,True
SIN006,Alfacookie Sin Tacc,Sin Tacc,4,15600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED006,Sin Azúcar,Pedidos Ya,4,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED007,Con Azúcar,Pedidos Ya,4,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF027,Latte Machiato Chico,Cafés,4,14200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED008,Tomate Cherry,Pedidos Ya,4,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO006,1/2 Docena Medialunas,Promos,4,24000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
ADI005,Extra shot de café,Adicionales,3,2600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED009,Producto Genérico,Pedidos Ya,3,21800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED010,Rúcula,Pedidos Ya,3,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB016,Chocolatada,Bebidas,2,8400,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PRO007,Onda Cookies,Promos,2,18000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED011,Pan Integral,Pedidos Ya,2,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED012,Cuadrado De Coco Y DDL,Pedidos Ya,2,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB017,Jarra de Limonada (Citric),Bebidas,2,15000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED013,Con Edulcorante,Pedidos Ya,2,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB018,Cerveza Heineken,Bebidas,2,7800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF028,Macchiato,Cafés,2,6600,2025-09-19 10:00:02,2025-09-19 10:00:02,True
BEB019,Té Negro,Bebidas,2,7000,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED014,Cacao,Pedidos Ya,1,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
CAF029,Lungo Chico,Cafés,1,2800,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED015,Mermelada,Pedidos Ya,1,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED016,Vaso De Naranja,Pedidos Ya,1,4200,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED017,Canela,Pedidos Ya,1,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED018,Leche,Pedidos Ya,1,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
PED019,Queso Crema,Pedidos Ya,1,0,2025-09-19 10:00:02,2025-09-19 10:00:02,True
